,Node1,Relation,Node2
0,array data structure,CLOSELY_RELATED_TO,data structures
1,array data structure,SUBJECT,arrays
2,linked list,CLOSELY_RELATED_TO,data structures
3,linked list,SUBJECT,articles with example c code
4,linked list,SUBJECT,linked lists
5,random access,CLOSELY_RELATED_TO,data structures
6,random access,SUBJECT,computer memory
7,record (computer science),CLOSELY_RELATED_TO,data structures
8,record (computer science),SUBJECT,composite data types
9,record (computer science),SUBJECT,data types
10,aggregate data,CLOSELY_RELATED_TO,data structures
11,aggregate data,SUBJECT,statistical data types
12,union (computer science),CLOSELY_RELATED_TO,data structures
13,union (computer science),SUBJECT,composite data types
14,union (computer science),SUBJECT,c (programming language)
15,union (computer science),SUBJECT,data types
16,record (computer science),CLOSELY_RELATED_TO,data structures
17,record (computer science),SUBJECT,composite data types
18,record (computer science),SUBJECT,data types
19,tagged union,CLOSELY_RELATED_TO,data structures
20,tagged union,SUBJECT,articles with example ada code
21,tagged union,SUBJECT,articles with example algol 68 code
22,tagged union,SUBJECT,articles with example c++ code
23,tagged union,SUBJECT,articles with example c code
24,tagged union,SUBJECT,articles with example pascal code
25,tagged union,SUBJECT,data types
26,tagged union,SUBJECT,type theory
27,variant type,CLOSELY_RELATED_TO,data structures
28,variant type,SUBJECT,basic programming language family
29,variant type,SUBJECT,data types
30,object (computer science),CLOSELY_RELATED_TO,data structures
31,object (computer science),SUBJECT,object (computer science)
32,object (computer science),SUBJECT,composite data types
33,object (computer science),SUBJECT,data types
34,object (computer science),SUBJECT,object-oriented programming
35,method (computer programming),CLOSELY_RELATED_TO,data structures
36,method (computer programming),SUBJECT,method (computer programming)
37,method (computer programming),SUBJECT,articles with example c++ code
38,object-oriented programming,CLOSELY_RELATED_TO,data structures
39,object-oriented programming,SUBJECT,norwegian inventions
40,object-oriented programming,SUBJECT,object-oriented programming
41,object-oriented programming,SUBJECT,programming paradigms
42,plain old data structure,CLOSELY_RELATED_TO,data structures
43,plain old data structure,SUBJECT,composite data types
44,plain old data structure,SUBJECT,c++
45,abstract data type,SEE_ALSO,data structures
46,abstract data type,SUBJECT,abstract data types
47,abstract data type,SUBJECT,data types
48,abstract data type,SUBJECT,type theory
