,Node1,Relation,Node2
0,agile software development,CLOSELY_RELATED_TO,devops
1,agile software development,SUBJECT,software project management
2,agile software development,SUBJECT,agile software development
3,agile software development,SUBJECT,software development philosophies
4,continuous delivery,CLOSELY_RELATED_TO,devops
5,continuous delivery,SUBJECT,software design
6,continuous delivery,SUBJECT,software development process
7,continuous delivery,SUBJECT,software release
8,dataops,CLOSELY_RELATED_TO,devops
9,site reliability engineering,CLOSELY_RELATED_TO,devops
10,site reliability engineering,SUBJECT,google
11,site reliability engineering,SUBJECT,2003 introductions
12,site reliability engineering,SUBJECT,software engineering
13,winops,CLOSELY_RELATED_TO,devops
14,toyota production system,CLOSELY_RELATED_TO,devops
15,toyota production system,SUBJECT,toyota
16,toyota production system,SUBJECT,lean manufacturing
17,toyota production system,SUBJECT,manufacturing
18,time to market,CLOSELY_RELATED_TO,devops
19,time to market,SUBJECT,product management
20,time to market,SUBJECT,business terms
21,time to market,SUBJECT,marketing
22,time to market,SUBJECT,production and manufacturing
23,twelve-factor app,SEE_ALSO,devops
24,infrastructure as code,SEE_ALSO,devops
25,infrastructure as code,SUBJECT,configuration management
26,infrastructure as code,SUBJECT,agile software development
27,infrastructure as code,SUBJECT,software development process
28,infrastructure as code,SUBJECT,systems engineering
29,infrastructure as code,SUBJECT,orchestration software
30,scaled agile framework,CLOSELY_RELATED_TO,agile software development
31,disciplined agile delivery,CLOSELY_RELATED_TO,agile software development
32,disciplined agile delivery,SUBJECT,agile software development
33,disciplined agile delivery,SUBJECT,project management
34,disciplined agile delivery,SUBJECT,software development process
35,scott ambler,CLOSELY_RELATED_TO,agile software development
36,large-scale scrum,CLOSELY_RELATED_TO,agile software development
37,craig larman,CLOSELY_RELATED_TO,agile software development
38,ken schwaber,CLOSELY_RELATED_TO,agile software development
39,jeff sutherland,CLOSELY_RELATED_TO,agile software development
40,mike beedle,CLOSELY_RELATED_TO,agile software development
41,quality assurance,CLOSELY_RELATED_TO,agile software development
42,quality assurance,SUBJECT,quality assurance
43,traceability,CLOSELY_RELATED_TO,agile software development
44,traceability,SUBJECT,barcodes
45,traceability,SUBJECT,radio-frequency identification
46,traceability,SUBJECT,software engineering
47,traceability,SUBJECT,wireless locating
48,traceability,SUBJECT,forest certification
49,verification and validation,CLOSELY_RELATED_TO,agile software development
50,verification and validation,SUBJECT,product testing
51,verification and validation,SUBJECT,validity (statistics)
52,verification and validation,SUBJECT,food safety
53,verification and validation,SUBJECT,pharmaceutical industry
54,verification and validation,SUBJECT,quality management
55,verification and validation,SUBJECT,systems engineering
56,workers' self-management,SEE_ALSO,agile software development
57,application lifecycle management,SEE_ALSO,continuous delivery
58,application lifecycle management,SUBJECT,software project management
59,application release automation,SEE_ALSO,continuous delivery
60,application release automation,SUBJECT,application software
61,application release automation,SUBJECT,software release
62,build management,SEE_ALSO,continuous delivery
63,build management,SUBJECT,software development
64,build management,SUBJECT,computer programming
65,change management,SEE_ALSO,continuous delivery
66,change management,SUBJECT,change management
67,ci/cd,SEE_ALSO,continuous delivery
68,continuous configuration automation,SEE_ALSO,continuous delivery
69,continuous integration,SEE_ALSO,continuous delivery
70,continuous integration,SUBJECT,continuous integration
71,continuous integration,SUBJECT,agile software development
72,continuous integration,SUBJECT,extreme programming
73,continuous testing,SEE_ALSO,continuous delivery
74,continuous testing,SUBJECT,software testing
75,devops,SEE_ALSO,continuous delivery
76,devops,SUBJECT,agile software development
77,devops,SUBJECT,information technology management
78,devops,SUBJECT,software development process
79,devops,SUBJECT,development lifecycle
80,release management,SEE_ALSO,continuous delivery
81,release management,SUBJECT,software project management
82,release management,SUBJECT,version control
83,release management,SUBJECT,software release
84,software configuration management,SEE_ALSO,continuous delivery
85,software configuration management,SUBJECT,configuration management
86,software configuration management,SUBJECT,ieee standards
87,software configuration management,SUBJECT,software engineering
88,version control,SEE_ALSO,continuous delivery
89,version control,SUBJECT,distributed version control systems
90,version control,SUBJECT,version control
91,version control,SUBJECT,version control systems
92,version control,SUBJECT,software development process
93,version control,SUBJECT,technical communication
94,winops,SEE_ALSO,continuous delivery
95,data lineage,CLOSELY_RELATED_TO,dataops
96,data lineage,SUBJECT,distributed computing problems
97,data lineage,SUBJECT,data management
98,data lineage,SUBJECT,big data
99,devops,CLOSELY_RELATED_TO,site reliability engineering
100,devops,SUBJECT,agile software development
101,devops,SUBJECT,information technology management
102,devops,SUBJECT,software development process
103,devops,SUBJECT,development lifecycle
104,service level indicator,CLOSELY_RELATED_TO,site reliability engineering
105,service level indicator,SUBJECT,it service management
106,service level indicator,SUBJECT,outsourcing
107,service level indicator,SUBJECT,services management and marketing
108,service level objective,CLOSELY_RELATED_TO,site reliability engineering
109,service level objective,SUBJECT,it service management
