,Node1,Relation,Node2
0,mathematical statistics,CLOSELY_RELATED_TO,statistics
1,mathematical statistics,SUBJECT,actuarial science
2,mathematical statistics,SUBJECT,statistical theory
3,statistical data type,CLOSELY_RELATED_TO,statistics
4,statistical data type,SUBJECT,statistical data types
5,levels of measurement,CLOSELY_RELATED_TO,statistics
6,levels of measurement,SUBJECT,statistical data types
7,levels of measurement,SUBJECT,articles with inconsistent citation formats
8,levels of measurement,SUBJECT,cognitive science
9,levels of measurement,SUBJECT,measurement
10,levels of measurement,SUBJECT,scientific method
11,descriptive statistics,CLOSELY_RELATED_TO,statistics
12,descriptive statistics,SUBJECT,descriptive statistics
13,descriptive statistics,SUBJECT,psychometrics
14,descriptive statistics,SUBJECT,summary statistics
15,statistical inference,CLOSELY_RELATED_TO,statistics
16,statistical inference,SUBJECT,deductive reasoning
17,statistical inference,SUBJECT,inductive reasoning
18,statistical inference,SUBJECT,logic and statistics
19,statistical inference,SUBJECT,philosophy of science
20,statistical inference,SUBJECT,psychometrics
21,statistical inference,SUBJECT,statistical inference
22,statistical inference,SUBJECT,statistical theory
23,type i and type ii errors,CLOSELY_RELATED_TO,statistics
24,type i and type ii errors,CLOSELY_RELATED_TO,statistics
25,interval estimation,CLOSELY_RELATED_TO,statistics
26,interval estimation,SUBJECT,estimation theory
27,interval estimation,SUBJECT,statistical inference
28,interval estimation,SUBJECT,statistical intervals
29,statistical significance,CLOSELY_RELATED_TO,statistics
30,statistical significance,SUBJECT,hypothesis testing
31,significance level,CLOSELY_RELATED_TO,statistics
32,significance level,SUBJECT,hypothesis testing
33,significance level,SUBJECT,spam filtering
34,significance level,SUBJECT,design of experiments
35,significance level,SUBJECT,error
36,p-value,CLOSELY_RELATED_TO,statistics
37,effect size,CLOSELY_RELATED_TO,statistics
38,effect size,SUBJECT,hypothesis testing
39,effect size,SUBJECT,pharmaceutical industry
40,effect size,SUBJECT,educational psychology research methods
41,effect size,SUBJECT,clinical research
42,effect size,SUBJECT,medical statistics
43,effect size,SUBJECT,effect size
44,effect size,SUBJECT,meta-analysis
45,confidence interval,CLOSELY_RELATED_TO,statistics
46,confidence interval,SUBJECT,psephology
47,confidence interval,SUBJECT,biostatistics
48,confidence interval,SUBJECT,estimation theory
49,confidence interval,SUBJECT,measurement
50,confidence interval,SUBJECT,statistical inference
51,confidence interval,SUBJECT,statistical intervals
52,confidence interval,SUBJECT,quantitative marketing research
53,prosecutor's fallacy,CLOSELY_RELATED_TO,statistics
54,null hypothesis,CLOSELY_RELATED_TO,statistics
55,null hypothesis,SUBJECT,hypothesis testing
56,null hypothesis,SUBJECT,articles with inconsistent citation formats
57,null hypothesis,SUBJECT,design of experiments
58,null hypothesis,SUBJECT,statistical inference
59,bayesian inference,CLOSELY_RELATED_TO,statistics
60,bayesian inference,SUBJECT,bayesian inference
61,bayesian inference,SUBJECT,statistical forecasting
62,bayesian inference,SUBJECT,logic and statistics
63,bayesian inference,SUBJECT,statistical inference
64,bayesian inference,SUBJECT,statistical theory
65,prior probability,CLOSELY_RELATED_TO,statistics
