,Node1,Relation,Node2
0,assignment (computer science),CLOSELY_RELATED_TO,algorithm
1,assignment (computer science),SUBJECT,programming language concepts
2,euclid's algorithm,CLOSELY_RELATED_TO,algorithm
3,euclid's algorithm,SUBJECT,articles containing proofs
4,euclid's algorithm,SUBJECT,articles with example pseudocode
5,euclid's algorithm,SUBJECT,euclid
6,euclid's algorithm,SUBJECT,number theoretic algorithms
7,empirical algorithmics,CLOSELY_RELATED_TO,algorithm
8,empirical algorithmics,SUBJECT,analysis of algorithms
9,empirical algorithmics,SUBJECT,empiricism
10,profiling (computer programming),CLOSELY_RELATED_TO,algorithm
11,profiling (computer programming),SUBJECT,software optimization
12,profiling (computer programming),SUBJECT,profilers
13,program optimization,CLOSELY_RELATED_TO,algorithm
14,program optimization,SUBJECT,software optimization
15,program optimization,SUBJECT,articles with example c code
16,program optimization,SUBJECT,programming language topics
17,program optimization,SUBJECT,computer optimization
18,algorithmic efficiency,CLOSELY_RELATED_TO,algorithm
19,algorithmic efficiency,SUBJECT,software optimization
20,algorithmic efficiency,SUBJECT,analysis of algorithms
21,algorithmic efficiency,SUBJECT,computer performance
22,complexity class,CLOSELY_RELATED_TO,algorithm
23,complexity class,SUBJECT,complexity classes
24,complexity class,SUBJECT,computational complexity theory
25,complexity class,SUBJECT,measures of complexity
26,parameterized complexity,CLOSELY_RELATED_TO,algorithm
27,parameterized complexity,SUBJECT,parameterized complexity
28,parameterized complexity,SUBJECT,computational complexity theory
29,array data structure,CLOSELY_RELATED_TO,algorithm
30,array data structure,SUBJECT,arrays
31,binary search algorithm,CLOSELY_RELATED_TO,algorithm
32,binary search algorithm,SUBJECT,search algorithms
33,bubble sort,CLOSELY_RELATED_TO,algorithm
34,bubble sort,SUBJECT,articles with example pseudocode
35,bubble sort,SUBJECT,comparison sorts
36,bubble sort,SUBJECT,sorting algorithms
37,bubble sort,SUBJECT,stable sorts
38,brute-force search,CLOSELY_RELATED_TO,algorithm
39,brute-force search,SUBJECT,search algorithms
40,numerical analysis,CLOSELY_RELATED_TO,algorithm
41,numerical analysis,SUBJECT,computational science
42,numerical analysis,SUBJECT,mathematical physics
43,numerical analysis,SUBJECT,numerical analysis
44,differential equation,CLOSELY_RELATED_TO,algorithm
45,differential equation,SUBJECT,differential equations
46,analog computer,CLOSELY_RELATED_TO,algorithm
47,analog computer,SUBJECT,analog computers
48,analog computer,SUBJECT,greek inventions
49,analog computer,SUBJECT,history of computing hardware
50,abstract machine,SEE_ALSO,algorithm
51,abstract machine,SUBJECT,automata (computation)
52,abstract machine,SUBJECT,models of computation
53,algorithm engineering,SEE_ALSO,algorithm
54,algorithm engineering,SUBJECT,algorithms
55,algorithm engineering,SUBJECT,theoretical computer science
56,algorithm characterizations,SEE_ALSO,algorithm
57,algorithm characterizations,SUBJECT,algorithms
58,algorithm characterizations,SUBJECT,computability theory
59,algorithm characterizations,SUBJECT,formal methods
60,algorithm characterizations,SUBJECT,models of computation
61,algorithmic composition,SEE_ALSO,algorithm
62,algorithmic composition,SUBJECT,markov models
63,algorithmic composition,SUBJECT,music theory
64,algorithmic composition,SUBJECT,computer music
65,algorithmic composition,SUBJECT,procedural generation
66,algorithmic entities,SEE_ALSO,algorithm
67,algorithmic synthesis,SEE_ALSO,algorithm
68,algorithmic synthesis,SUBJECT,electronic design automation
69,algorithmic technique,SEE_ALSO,algorithm
70,algorithmic topology,SEE_ALSO,algorithm
71,algorithmic topology,SUBJECT,applied mathematics
72,algorithmic topology,SUBJECT,computational complexity theory
73,algorithmic topology,SUBJECT,computational science
74,algorithmic topology,SUBJECT,computational topology
75,"garbage in, garbage out",SEE_ALSO,algorithm
76,"garbage in, garbage out",SUBJECT,computer humor
77,"garbage in, garbage out",SUBJECT,computer jargon
78,introduction to algorithms,SEE_ALSO,algorithm
79,introduction to algorithms,SUBJECT,computer science books
80,introduction to algorithms,SUBJECT,mit press books
81,introduction to algorithms,SUBJECT,1990 books
82,regulation of algorithms,SEE_ALSO,algorithm
83,theory of computation,SEE_ALSO,algorithm
84,theory of computation,SUBJECT,theory of computation
85,computability theory,SEE_ALSO,algorithm
86,computability theory,SUBJECT,computability theory
87,computability theory,SUBJECT,mathematical logic
88,computational complexity theory,SEE_ALSO,algorithm
89,computational complexity theory,SUBJECT,computational complexity theory
90,computability theory,SEE_ALSO,algorithm
91,computability theory,SUBJECT,computability theory
92,computability theory,SUBJECT,mathematical logic
93,computational complexity theory,SEE_ALSO,algorithm
94,computational complexity theory,SUBJECT,computational complexity theory
95,augmented assignment,CLOSELY_RELATED_TO,assignment (computer science)
96,augmented assignment,SUBJECT,computer arithmetic
97,augmented assignment,SUBJECT,operators (programming)
98,algol,CLOSELY_RELATED_TO,assignment (computer science)
99,algol,SUBJECT,algol variables
100,algol,SUBJECT,arabic words and phrases
101,algol,SUBJECT,astronomical objects known since antiquity
102,algol,SUBJECT,b-type main-sequence stars
103,algol,SUBJECT,bayer objects
104,algol,SUBJECT,flamsteed objects
105,algol,SUBJECT,henry draper catalogue objects
106,algol,SUBJECT,hipparcos objects
107,algol,SUBJECT,k-type subgiants
108,algol,SUBJECT,perseus (constellation)
109,algol,SUBJECT,stars with proper names
110,algol,SUBJECT,triple star systems
111,pascal (programming language),CLOSELY_RELATED_TO,assignment (computer science)
112,pascal (programming language),SUBJECT,1970 in computer science
113,pascal (programming language),SUBJECT,academic programming languages
114,pascal (programming language),SUBJECT,articles with example pascal code
115,pascal (programming language),SUBJECT,educational programming languages
116,pascal (programming language),SUBJECT,pascal (programming language)
117,pascal (programming language),SUBJECT,programming languages
118,pascal (programming language),SUBJECT,programming languages created in 1970
119,pascal (programming language),SUBJECT,programming languages with an iso standard
120,c (programming language),CLOSELY_RELATED_TO,assignment (computer science)
121,r (programming language),CLOSELY_RELATED_TO,assignment (computer science)
122,assignment operator in c++,SEE_ALSO,assignment (computer science)
123,operator (programming),SEE_ALSO,assignment (computer science)
124,operator (programming),SUBJECT,operators (programming)
125,operator (programming),SUBJECT,programming constructs
126,name binding,SEE_ALSO,assignment (computer science)
127,name binding,SUBJECT,programming language concepts
128,name binding,SUBJECT,articles with example java code
129,unification (computing),SEE_ALSO,assignment (computer science)
130,unification (computing),SUBJECT,rewriting systems
131,unification (computing),SUBJECT,unification (computer science)
132,unification (computing),SUBJECT,automated theorem proving
133,unification (computing),SUBJECT,logic in computer science
134,unification (computing),SUBJECT,logic programming
135,unification (computing),SUBJECT,type theory
136,immutable object,SEE_ALSO,assignment (computer science)
137,immutable object,SUBJECT,articles with example perl code
138,immutable object,SUBJECT,object (computer science)
139,immutable object,SUBJECT,articles with example c++ code
140,immutable object,SUBJECT,articles with example java code
141,immutable object,SUBJECT,articles with example python code
142,immutable object,SUBJECT,functional programming
143,immutable object,SUBJECT,articles with example racket code
144,immutable object,SUBJECT,functional data structures
145,const-correctness,SEE_ALSO,assignment (computer science)
146,const-correctness,SUBJECT,articles with example c++ code
147,const-correctness,SUBJECT,articles with example c code
148,const-correctness,SUBJECT,c programming language family
149,const-correctness,SUBJECT,data types
150,const-correctness,SUBJECT,programming language topics
151,euclidean division,CLOSELY_RELATED_TO,euclid's algorithm
152,euclidean division,SUBJECT,division (mathematics)
153,euclidean division,SUBJECT,arithmetic
154,euclidean division,SUBJECT,articles containing proofs
155,euclidean division,SUBJECT,theorems in number theory
156,extended euclidean algorithm,CLOSELY_RELATED_TO,euclid's algorithm
157,extended euclidean algorithm,SUBJECT,articles with example pseudocode
158,extended euclidean algorithm,SUBJECT,euclid
159,extended euclidean algorithm,SUBJECT,number theoretic algorithms
160,stern–brocot tree,CLOSELY_RELATED_TO,euclid's algorithm
161,polynomial greatest common divisor,CLOSELY_RELATED_TO,euclid's algorithm
162,polynomial greatest common divisor,SUBJECT,computer algebra
163,polynomial greatest common divisor,SUBJECT,polynomials
164,euclidean rhythm,SEE_ALSO,euclid's algorithm
165,euclidean rhythm,SUBJECT,music theory
166,euclidean rhythm,SUBJECT,musical analysis
167,euclidean rhythm,SUBJECT,euclid
168,algorithm engineering,SEE_ALSO,empirical algorithmics
169,algorithm engineering,SUBJECT,algorithms
170,algorithm engineering,SUBJECT,theoretical computer science
171,analysis of algorithms,SEE_ALSO,empirical algorithmics
172,analysis of algorithms,SUBJECT,analysis of algorithms
173,analysis of algorithms,SUBJECT,computational complexity theory
174,profiling (computer programming),SEE_ALSO,empirical algorithmics
175,profiling (computer programming),SUBJECT,software optimization
176,profiling (computer programming),SUBJECT,profilers
177,performance tuning,SEE_ALSO,empirical algorithmics
178,performance tuning,SUBJECT,network performance
179,performance tuning,SUBJECT,computer hardware tuning
180,software development,SEE_ALSO,empirical algorithmics
181,software development,SUBJECT,software project management
182,software development,SUBJECT,software development
183,software development,SUBJECT,product development
184,software development,SUBJECT,computer occupations
185,software development,SUBJECT,project management
186,hypervisor,CLOSELY_RELATED_TO,profiling (computer programming)
187,hypervisor,SUBJECT,virtualization software
188,hypervisor,SUBJECT,servers (computing)
189,java (programming language),CLOSELY_RELATED_TO,profiling (computer programming)
190,java (programming language),SUBJECT,articles with example java code
191,java (programming language),SUBJECT,c programming language family
192,java (programming language),SUBJECT,class-based programming languages
193,java (programming language),SUBJECT,computer-related introductions in 1995
194,java (programming language),SUBJECT,concurrent programming languages
195,java (programming language),SUBJECT,cross-platform software
196,java (programming language),SUBJECT,jvm programming languages
197,java (programming language),SUBJECT,java (programming language)
198,java (programming language),SUBJECT,java platform
199,java (programming language),SUBJECT,java specification requests
200,java (programming language),SUBJECT,object-oriented programming languages
201,java (programming language),SUBJECT,programming languages
202,java (programming language),SUBJECT,programming languages created in 1995
203,java (programming language),SUBJECT,statically typed programming languages
204,java (programming language),SUBJECT,sun microsystems
205,java virtual machine tools interface,CLOSELY_RELATED_TO,profiling (computer programming)
206,.net framework,CLOSELY_RELATED_TO,profiling (computer programming)
207,interpreter,CLOSELY_RELATED_TO,profiling (computer programming)
208,interpreter,SUBJECT,language interpretation
209,interpreter,SUBJECT,articles containing video clips
210,python (programming language),CLOSELY_RELATED_TO,profiling (computer programming)
211,python (programming language),SUBJECT,class-based programming languages
212,python (programming language),SUBJECT,cross-platform free software
213,python (programming language),SUBJECT,dutch inventions
214,python (programming language),SUBJECT,dynamically typed programming languages
215,python (programming language),SUBJECT,educational programming languages
216,python (programming language),SUBJECT,high-level programming languages
217,python (programming language),SUBJECT,object-oriented programming languages
218,python (programming language),SUBJECT,programming languages created in 1991
219,python (programming language),SUBJECT,python (programming language)
220,python (programming language),SUBJECT,scripting languages
221,python (programming language),SUBJECT,text-oriented programming languages
222,ruby (programming language),CLOSELY_RELATED_TO,profiling (computer programming)
223,ruby (programming language),SUBJECT,articles with example ruby code
224,ruby (programming language),SUBJECT,class-based programming languages
225,ruby (programming language),SUBJECT,dynamically typed programming languages
226,ruby (programming language),SUBJECT,free software programmed in c
227,ruby (programming language),SUBJECT,iso standards
228,ruby (programming language),SUBJECT,object-oriented programming languages
229,ruby (programming language),SUBJECT,programming languages created in 1995
230,ruby (programming language),SUBJECT,ruby (programming language)
231,ruby (programming language),SUBJECT,scripting languages
232,ruby (programming language),SUBJECT,software using the bsd license
233,ruby (programming language),SUBJECT,text-oriented programming languages
234,api,CLOSELY_RELATED_TO,profiling (computer programming)
235,api,SUBJECT,application programming interfaces
236,api,SUBJECT,technical communication
237,application response measurement,CLOSELY_RELATED_TO,profiling (computer programming)
238,assembly language,CLOSELY_RELATED_TO,profiling (computer programming)
239,assembly language,SUBJECT,1949 software
240,assembly language,SUBJECT,assembly languages
241,assembly language,SUBJECT,computer-related introductions in 1949
242,assembly language,SUBJECT,programming language implementation
243,assembly language,SUBJECT,programming languages created in 1949
244,bytecode,CLOSELY_RELATED_TO,profiling (computer programming)
245,bytecode,SUBJECT,virtualization software
