,Node1,Relation,Node2,Subject,Label,Entity
0,Graphic design,CLOSELY_RELATED_TO,web development,"['Communication_design', 'Graphic_design']",['Graphic design'],['Election']
1,Web design,CLOSELY_RELATED_TO,web development,"['Communication_design', 'Web_design']",['Web design'],['Whole100003553']
2,Information architecture,CLOSELY_RELATED_TO,web development,"['Information_technology', 'Information_architects', 'Enterprise_architecture', 'WikiProject_Information_Architecture', 'Data_management', 'Information_governance', 'Information_science', 'Information_technology_management', 'Records_management', 'Technical_communication']",['Information architecture'],['WikicatInformationArchitects']
3,Copywriting,CLOSELY_RELATED_TO,web development,"['Journalism_occupations', 'Advertising_occupations', 'Communication_design', 'Copywriters']",['Copywriting'],['company']
4,Copyediting,CLOSELY_RELATED_TO,web development,"['Journalism_occupations', 'Copy_editing', 'Technical_communication', 'Writing_occupations', 'Types_of_editors']",['Copy editing'],['book']
5,Usability,CLOSELY_RELATED_TO,web development,"['Usability', 'Human–computer_interaction', 'Technical_communication']",['Usability'],['Thing']
6,Web accessibility,CLOSELY_RELATED_TO,web development,"['Usability', 'Accessible_information', 'Web_accessibility', 'Web_design']",['Web accessibility'],['Part113809207']
7,Search engine optimization,CLOSELY_RELATED_TO,web development,"['Internet_marketing', 'Web_analytics', 'Internet_terminology', 'Search_engine_optimization']",['Search engine optimization'],['Election']
8,Software testing,CLOSELY_RELATED_TO,web development,"['Computer_occupations', 'Software_testing']",['Software testing'],['person']
9,Outline of web design and web development,SEE_ALSO,web development,[],[],[]
10,Web design,SEE_ALSO,web development,"['Communication_design', 'Web_design']",['Web design'],['Whole100003553']
11,Web development tools,SEE_ALSO,web development,"['Web_development', 'Computer_programming_tools']",['Web development tools'],['Thing']
12,Web application development,SEE_ALSO,web development,"['Web_development', 'Web_applications']",['Web application development'],['Election']
13,Web developer,SEE_ALSO,web development,"['Web_development', 'Computer_occupations']",['Web developer'],['person']
14,Internet,SEE_ALSO,web development,"['1969_establishments_in_the_United_States', 'American_inventions', 'Computer-related_introductions_in_1969', 'Computer-related_introductions_in_1989', 'Cultural_globalization', 'Digital_technology', 'Internet', 'Media_technology', 'New_media', 'Public_services', 'Telegraphy', 'Transport_systems', 'Virtual_reality']",['Internet'],['Thing']
15,Intranet,SEE_ALSO,web development,"['Internet_privacy', 'Computer_networks']",['Intranet'],['Thing']
16,History of printing,CLOSELY_RELATED_TO,graphic design,"['History_of_science_by_discipline', 'Textual_scholarship', 'History_of_printing', 'History_of_writing']",['History of printing'],['Thing']
17,Typography,CLOSELY_RELATED_TO,graphic design,"['Text', 'Communication_design', 'Design', 'Graphic_design', 'Philatelic_terminology', 'Typography']",['Typography'],['person']
18,Page layout,CLOSELY_RELATED_TO,graphic design,"['Page_layout', 'Book_arts', 'Communication_design', 'Composition_in_visual_art', 'Graphic_design']",['Page layout'],['Creation103129123']
19,Printmaking,CLOSELY_RELATED_TO,graphic design,"['Art_media', 'Printing', 'Printmaking']",['Printmaking'],['Election']
